property_id,school_code,school_name,suburb,postcode,region,latitude,longitude,school_type,enrolment
Property 88710,4378,Whalan Public School,Whalan,2770,Metropolitan North,-33.752917,150.809664,Primary School,340.0
Property 89073,1601,Comboyne Public School,Comboyne,2429,Regional North and West,-31.605308,152.472736,Primary School,36.0
Property 90329,3428,Westdale Public School,Westdale,2340,Rural North,-31.093714,150.873927,Primary School,370.0
Property 91113,1320,Boronia Park Public School,HUNTERS HILL,2110,Metropolitan North,-33.821414,151.135558,Primary School,409.0
Property 91475,4316,Mannering Park Public School,Mannering Park,2259,Regional North,-33.150794,151.536785,Primary School,193.0
Property 91601,5511,Newcastle Senior School,WARATAH,2298,Regional North,-32.909171,151.723388,Schools for Specific Purposes,37.0
Property 91671,3952,Marrickville Public School,Marrickville,2204,Metropolitan South,-33.906705,151.162658,Primary School,213.0
Property 93666,1695,Cudal Public School,Cudal,2864,Rural South and West,-33.287099,148.740307,Primary School,48.0
Property 95585,3226,Tomerong Public School,Tomerong,2540,Regional South and Connected Communities,-35.054973,150.587182,Primary School,116.0
Property 971,4311,Bardia Public School,Bardia,2565,Metropolitan South and West,-33.97528,150.857923,Primary School,953.0
Property 97677,3247,Toronto Public School,Toronto,2283,Regional North,-33.00826,151.594778,Primary School,201.0
Property 97761,8457,Killara High School,Killara,2071,Metropolitan North,-33.756575,151.174102,Secondary School,1800.3999999999999
Property 99914,5246,Bankstown South Infants School,Bankstown,2200,Metropolitan South and West,-33.93123,151.038402,Infants School,141.0
Property Banana,8196,Monaro High School,Cooma North,2630,Rural South and West,-36.216655,149.134021,Secondary School,372.0
Property Inactive1,2509,Meadow Flat Public School,MEADOW FLAT,2795,Regional North and West,-33.433726,149.920456,Primary School,30.0
Property Inactive2,3932,Waratah West Public School,Waratah West,2298,Regional North,-32.897979,151.716258,Primary School,113.0
Property Snail,3736,Balgowlah Heights Public School,Balgowlah,2093,Metropolitan North,-33.805985,151.258754,Primary School,651.0
